CRS,Tiploc,Description,Stannox
,AMNG485,AMINGTON JN SIG NL5485,68994
,AMNG487,AMINGTON JN SIG NL3487,68999
,AMNG488,AMINGTON JN SIG NL5488,68995
,AMNG490,AMINGTON JN SIG NL3490,69002
XIM,AMNGTNJ,AMINGTON JUNCTION,69003
AMD,AMPFLD,AMPFIELD (SCHOOL),0
,AMPTNLS,AMPTHILL TUNNELS,62200
AMS,AMSTDAM,AMSTERDAM C.S.,950
,AMSTSCH,AMSTERDAM SCHIPHOL,937
,ANAT,ANNAT,6011
,ANCAHON,HONINGTON,44102
ANC,ANCASTR,ANCASTER,44101
,ANDO202,ANDOVER SHUNT SIG BE5202,86054
,ANDOKMR,ANDOVER SIDINGS,86073
,ANDOLSB,LUDGERSHALL BRNCH STP BRD,86133
ADV,ANDOVER,ANDOVER,86074
,ANDOYD,ANDOVER YARD,86072
AND,ANDRSTN,ANDERSTON,7253
ANZ,ANERLEY,ANERLEY,87644
,ANGMGF,ANGMERING GROUND FRAME,88010
ANG,ANGMRNG,ANGMERING,87998
,ANGOLEM,ANGOULEME,0
,ANGRFHH,ANGERSTEIN WHARF FLHH,88507
,ANGRGBR,ANGERSTEIN WHARF GBRF,88521
,ANGRMAR,ANGERSTEIN WHARF - MARCON,88505
,ANGRNOR,ANGERSTEIN WHARF NORRIS,88534
,ANGRSTB,ANGERSTEIN STOP BOARD,88533
,ANGRSTJ,ANGERSTEIN JN,88510
,ANGRSTW,ANGERSTEIN WHARF LOOP,88501
,ANGRTAR,ANGERSTEIN WHARF (TARMAC),88502
,ANNADRS,ANNAN DRS ISU,9032
ANN,ANNAN,ANNAN,9033
,ANNBANK,ANNBANK,8606
AFV,ANSDELL,ANSDELL & FAIRHAVEN,30037
ANL,ANSL,ANNIESLAND,6222
,ANSL3,ANNIESLAND,6222
,ANSTYXR,ANSTY CROSS ROADS,0
APP,APBY,APPLEBY,9426
,APBYNE,APPLEBY NORTH EAST SDGS,9427
APD,APDR,APPLEDORE (KENT),89432
APY,APERLYB,APPERLEY BRIDGE,17050
,APERLYJ,APPERLEY JN,17053
,APLHRSJ,APPLEHURST JN,23102
APB,APLYBDG,APPLEY BRIDGE,35050
,APLYBGW,APPLEY BRIDGE WIMPEY,35051
APF,APPLEFD,APPLEFORD,74340
,APPLEFS,APPLEFORD SIDINGS,74341
,APPLEFX,APPLEFORD L.C.,74340
,APPLEGB,APPLEFORD SDGS (GBRf),74338
,APPLFHH,APPLEFORD FHH,74342
APS,APSLEY,APSLEY,71023
,ARAS,ARRAS,743
,ARBRCVR,ARBROATH CROSSOVER,3026
ARB,ARBROTH,ARBROATH,3023
,ARBRUNS,ARBROATH UP NORTH SIDING,3027
,ARBRURS,ARBROATH U.R.S.,3024
,ARBRUSS,ARBROATH UP SOUTH SIDING,3028
,ARCHAME,ARROCHAR & TARBET URS AMEC,6107
ART,ARCHRAT,ARROCHAR & TARBET,6101
,ARCHRCE,ARROCHAR & TARBET C.E.,6102
,ARCHTGF,ARROCHAR & TARBET GF,6100
,ARCQGBF,ARCOW QUARRY GBRF,9511
,ARCQGF,ARCOW QUARRY GF,9512
,ARDEGH,ARDLEIGH,49295
,ARDGAGF,ARDGAY GF,1040
ARD,ARDGAY,ARDGAY,1041
,ARDGAYC,ARDGAY C.E.,1042
,ARDLGF,ARDLUI GROUND FRAME,6066
,ARDLUCE,ARDLUI C.E.,6060
AUI,ARDLUI,ARDLUI,6059
,ARDNFHH,ARDINGLY HANSON AGGREGATES,87964
,ARDNGLY,ARDINGLY,87965
XAT,ARDRSDS,ARDROSSAN E.M.U. SDG,8200
ADS,ARDRSHB,ARDROSSAN HARBOUR,8208
ASB,ARDRSSB,ARDROSSAN SOUTH BEACH,8198
ADN,ARDRSTN,ARDROSSAN TOWN,8204
,ARDWCKJ,ARDWICK JN,32009
ADK,ARDWICK,ARDWICK,32045
,ARDWKEJ,ARDWICK EAST JN,32009
,ARDWKEY,ARDWICK EAST YARD,32042
XRK,ARDWTMD,ARDWICK T.M.D,32043
AGS,ARGYLST,ARGYLE STREET,7259
ARG,ARISAIG,ARISAIG,6004
,ARISCE,ARISAIG C.E.,6003
,ARKL021,ARKLESTON SIGNAL 6021,7151
,ARKL023,ARKLESTON SIGNAL 6023,7157
,ARKL025,ARKLESTON SIGNAL 6025,7158
,ARKLSTE,ARKLESTON EAST,7149
,ARKLSTJ,ARKLESTON JN,7147
,ARKLSTW,ARKLESTON WEST,7148
,ARKS814,ARKSEY D814,23226
,ARKS815,ARKSEY SIGNAL D815,23227
,ARKSEYL,ARKSEY LOOP,23225
ARW,ARKW,ARKLOW,0
,ARLEY,ARLEY,0
,ARLON,ARLON,865
,ARLSCAD,CADWELL,53205
ARL,ARLSEY,ARLESEY,53201
ARA,ARMADLE,ARMADALE (SKYE),0
ARM,ARMDALE,ARMADALE,7324
,ARMITAG,ARMITAGE JN,43335
,ARMLJCN,ARMLEY JUNCTION,17136
AWT,ARMTHWT,ARMATHWAITE,9415
ARN,ARNSIDE,ARNSIDE,11403
,ARPLEYJ,ARPLEY JN,35533
,ARPLEYS,ARPLEY SIDINGS,35550
,ARPLHOL,WARRINGTON ARPLEY (HOLE),35549
,ARPLSHS,ARPLEY SIDINGS H.S.,35550
,ARPLYFA,WARRINGTON FUELLING APRON,35546
,ARPNRD,WARRINGTON ARPLEY NC RDS,35557
ARR,ARRAM,ARRAM,19019
,ARUN50,ARUNDEL SHUNT SIG.50,87895
ARU,ARUNDEL,ARUNDEL,87958
XXA,ARUNDLJ,ARUNDEL JN,87959
ARZ,ARUNLRD,ARUNDEL LONDON ROAD,0
,ASBRDGE,ASH BRIDGE JUNCTION,32518
,ASCO501,ASCOT SIGNAL F501,87098
,ASCO504,ASCOT SIGNAL F504,87095
,ASCO506,ASCOT SIGNAL F506,87092
,ASCODS,ASCOT DOWN SIDING,87096
ACT,ASCOT,ASCOT,87103
AUW,ASCTUWD,ASCOTT-UNDER-WYCHWOOD,74463
AFS,ASFDMSX,ASHFORD (MIDDLESEX),87117
ASF,ASFIELD,ASHFIELD,6245
,ASFRDBY,ASFORDBY COLLIERY,59119
,ASHBAWS,ARDWICK WEST SDGS (EWS),32052
,ASHBEWS,ASHBURYS (DBC),32051
,ASHBFHH,ASHBURYS LAFARGE (FLHH),32049
,ASHBGBR,ASHBURYS TARMAC GBRF,32046
,ASHBREJ,ASHBURYS EAST JN,32050
,ASHBRSY,ASHBURYS S.S.,32051
,ASHBRWJ,ASHBURYS W JN. (SIG AS998),32048
ABY,ASHBRYS,ASHBURYS,32050
,ASHC453,ASHCHURCH SIGNAL G453,68074
,ASHCGBF,ASHCHURCH MOD GBRF,68070
ASC,ASHCHRC,ASHCHURCH FOR TEWKESBURY,68071
,ASHCMOD,ASHCHURCH MOD (ARMY),68073
,ASHCWGF,ASHCHURCH WAR DEPT. G.F.,68075
,ASHCWTF,ASHCHURCH WAR DEPT G.F.,68072
AHD,ASHD,ASHTEAD,87683
,ASHF119,ASHFORD SIGNAL AD2119,89434
,ASHF661,ASHFORD SIGNAL 661,89463
,ASHF871,ASHFORD SIGNAL AD871,0
,ASHF878,ASHFORD SIGNAL AD878,0
,ASHFAJN,ASHFORD A JUNCTION,89438
XIE,ASHFCEJ,ASHFORD EAST JN (CTRL),89572
,ASHFCR,ASHFORD CRANE DEPOT,89422
XIW,ASHFCWJ,ASHFORD WEST JN (CTRL),89566
,ASHFDNS,ASHFORD DOWN SIDINGS,89420
,ASHFDYW,ASHFORD DOWN YD WASHER RD,89421
,ASHFEBS,ASHFORD EAST BERTHING SDGS,89419
,ASHFEJN,ASHFORD EAST JUNCTION,89430
,ASHFKCY,ASHFORD DN YD CNTB END,89436
,ASHFKDY,ASHFORD DOWN YARD,89427
,ASHFKGR,ASHFORD MAIDSTONE LOOP,89425
ASI,ASHFKI,ASHFORD INTERNATIONAL,89428
AFK,ASHFKY,ASHFORD INTERNATIONAL,89428
,ASHFUPS,ASHFORD UP SIDINGS,89418
,ASHFWJN,ASHFORD WEST JUNCTION,89423
,ASHGTNJ,ASHINGTON JN,12213
ASH,ASHH,ASH,87014
,ASHH331,ASH SIGNAL GD 1331,87015
,ASHIMGB,ASHTON IN MAKERFLD KS GBRF,35203
,ASHIMKS,ASHTON IN MAKERFIELD K.S.,35202
,ASHIMSB,ASHTON IN M STOP BOARD,35202
,ASHJ335,ASHTON JN SIGNAL B335,81829
,ASHJGAT,ASHTON GATE,81821
,ASHJN,ASHTON JUNCTION,81823
,ASHJNCE,ASHTON JUNCTION (CE),81822
ASY,ASHLEY,ASHLEY,37223
AHN,ASHONUL,ASHTON-UNDER-LYNE,32115
,ASHTMNJ,ASHTON MOSS NORTH JN,32117
ABF,ASHUBUS,ASHURST BALD FACE STAG P.H,0
,ASHUJN,ASHURST JN,87765
AHS,ASHURST,ASHURST,87763
,ASHV408,ASH VALE SIGNAL WK408,87040
AHV,ASHVALE,ASH VALE,87041
AWM,ASHWELC,ASHWELL & MORDEN,53011
ASK,ASKAM,ASKAM,11225
,ASKAM6,ASKAM SIGNAL AM6,11226
,ASKRNLC,NORTON LEVEL CROSSING,18103
ALK,ASLCKTN,ASLOCKTON,44517
,ASLYBJN,ASTLEY BRIDGE JN,29181
APG,ASPLEYG,ASPLEY GUISE,62051
,ASPTBRA,BRAYTON,9226
ASP,ASPTRIA,ASPATRIA,10021
,ASTLEY,ASTLEY,31747
,ASTO65,ASTON SIGNAL SB4619,65652
AST,ASTON,ASTON,65651
,ASTOSTJ,ASTON SOUTH JN,65650
ATT,ATADALE,ATTADALE,1076
ATN,ATHERTN,ATHERTON,35139
,ATHH,ATH,841
,ATHLNEY,ATHELNEY CROSSING,82307
ATH,ATHRSTN,ATHERSTONE,69009
,ATLB431,ATTLEBOROUGH JN SIG RN3431,69032
,ATLB533,ATTLEBOROUGH JN SIG RN9533,69031
,ATLBRJN,ATTLEBOROUGH SOUTH JN,69023
,ATLBRNJ,ATTLEBOROUGH NORTH JN,69020
,ATLBSHI,SHILTON,69024
ATB,ATNBRO,ATTENBOROUGH,55202
,ATNBROJ,ATTENBOROUGH JN,55203
ATL,ATTLBON,ATTLEBOROUGH,48501
ATE,ATTRCLI,ATTERCLIFFE,25808
,ATTREWS,ATTERCLIFFE SDGS EWS,25623
,ATTRFHH,ATTERCLIFFE SDGS FHH,25622
,ATTRMGS,ATTERCLIFFE M&G,25624
,ATTSTEM,ATTERCLIFFE STONE TEML D&C,25621
,AUCHAR6,AUCHTERARDER SIG AR6,3160
,AUCHTDR,AUCHTERARDER SB,3151
,AUCHTER,AUCHTERARDER,3152
AUD,AUDLEYE,AUDLEY END,47321
