CRS,Tiploc,Description,Stannox
,SHOTNPC,SHOTTON PAPER COMPANY,39009
,SHOTTHL,SHOTTON HIGH LEVEL,41016
SHX,SHOTTLE,SHOTTLE,0
SHT,SHOTTON,SHOTTON,40209
,SHPCLPS,TINSLEY AVESTA (SPACE),25208
,SHPCTLJ,SHEPCOTE LANE JN,25206
SPB,SHPDSB,SHEPHERD'S BUSH,72242
SNP,SHPE,STANHOPE,15816
SHI,SHPLAKE,SHIPLAKE,74027
XSP,SHPRTBJ,SHEPRETH BRANCH JN,47250
STH,SHPRTH,SHEPRETH,47244
,SHPSHLA,SHEPHERDS LANE JN,87256
SHY,SHPY,SHIPLEY,17033
,SHPYCE,SHIPLEY CROSSLEY EVANS,17034
,SHPYCEA,SHIPLEY C EVANS (DC),17035
,SHPYDJN,DOCKFIELD JN,17052
,SHPYEJN,SHIPLEY EAST JN,17022
,SHPYESJ,ESHOLT JN,17039
,SHPYSJN,SHIPLEY SOUTH JN,17020
,SHPYSPJ,SPRINGS JN,17036
,SHPYWJN,SHIPLEY WEST JN,17018
,SHRBDAV,SHIREBROOK DAVIS & SON,28112
,SHRBREJ,SHIREBROOK EAST JN,28004
SHB,SHRBROK,SHIREBROOK,28105
,SHRBRSJ,SHIREBROOK SOUTH JN,0
,SHRBWJ,SHIREBROOK JUNCTION,28004
SDC,SHRDHST,SHOREDITCH HIGH STREET,52082
,SHRFDXR,SHERFIELD CROSS ROADS,0
SHM,SHRGHAM,SHERINGHAM,48008
,SHRGNNR,SHERINGHAM N N RAILWAY,48011
SSE,SHRHMBS,SHOREHAM-BY-SEA,87991
,SHRKSEJ,SHIREOAKS EAST JN,26253
SRO,SHRKSKS,SHIREOAKS,26252
,SHRKSWJ,SHIREOAKS WEST JN,26251
SEH,SHRMKT,SHOREHAM (KENT),89346
,SHRNFHH,SHEERNESS STEEL WORKS FLHH,89133
,SHRNGBR,SHEERNESS STEEL GBRF,89147
,SHRNSDG,SHEERNESS SIDINGS,89135
,SHRNSME,SHEERNESS STEEL MARCROFT,89138
SSS,SHRNSOS,SHEERNESS-ON-SEA,89137
XXS,SHRNSSW,SHEERNESS STEEL WORKS,89136
,SHRPCMT,SHARPNES DKS COOPERS METAL,68148
,SHRPNSD,SHARPNESS DOCKS,68146
SRT,SHRTLND,SHORTLANDS,88474
XOR,SHRTLNJ,SHORTLANDS JN,88476
,SHRW15,SUTTON BRIDGE JN SIG 15,64236
,SHRW34,SUTTON BRIDGE JN SIG 34,64238
,SHRWAFS,SHREWSBURY ABBEY FRGTE CS,64232
XSY,SHRWBAF,SHREWSBURY ABBEY FOREGATE,64229
,SHRWBCB,SHREWSBURY CREWE BANK,64222
,SHRWBCJ,SHREWSBURY CREWE JN S.B.,64225
,SHRWBNY,SHREWSBURY NEW YD,64221
SHR,SHRWBY,SHREWSBURY,64224
,SHRWCE,SEVERN BRIDGE CE SDGS,64228
,SHRWCON,CONDOVER,64235
,SHRWCSS,SHREWSBURY COLEHAM SS,64226
,SHRWEBJ,ENGLISH BRIDGE JUNCTION,64230
,SHRWLLC,LEATON L.C.,64125
,SHRWSBJ,SUTTON BRIDGE JN,64231
,SHTLPWY,SHETTLESTON P'WAY DEPOT,6711
,SHTLSCE,SHETTLESTON CE WORKSHOPS,6708
SLS,SHTLSTN,SHETTLESTON,6707
,SHTLTNL,SHETTLESTON LOOP,6709
,SHTLUP,SHETTLESTON UP,6713
SHS,SHTT,SHOTTS,7434
STN,SHVN,STONEHAVEN,2113
,SHVN40,STONEHAVEN SIGNAL SV40,2117
,SHVNS,STONEHAVEN SOUTH,2114
SFI,SHWFAIR,SHAWFAIR,4712
SHL,SHWLNDS,SHAWLANDS,7585
,SIBSEY,SIBSEY S.B.,44218
,SIBSOLK,OLD LEAKE,44219
,SIDC538,SIDCUP SIGNAL NK1538,88526
SID,SIDCUP,SIDCUP,88461
,SIDCUPS,SIDCUP SIDING,88460
,SIDICKJ,SIDDICK JN,10031
SIC,SILCRFT,SILECROFT,11210
,SILCWIT,WHITBECK,11208
SIL,SILEBY,SILEBY,59017
,SILEBYJ,SILEBY JN,59019
,SILKMLC,SILK MILL L.C.,0
,SILLA,SILLA,229
,SILOJN,SILO JUNCTION,0
,SILVRCL,SILVERDALE COLLY,42307
,SINFFHH,SINFIN PEARTREE SDGS,57457
SFC,SINFINC,SINFIN CENTRAL,57456
SIR,SINFINN,SINFIN NORTH,57455
,SINFINS,SINFIN SDGS,57454
,SINFSDG,SINFIN SDGS (COLAS),57460
SIN,SINGER,SINGER,6215
SLV,SIVRST,SILVER STREET,51950
,SIXMBTM,SIX MILE BOTTOM,47005
,SIZCEGB,SIZEWELL C.E.G.B.,49112
SKG,SKEGNES,SKEGNESS,44231
,SKELBRO,BENINGBROUGH,16401
,SKELTNB,SKELTON BRIDGE JN.,16403
,SKELTON,SKELTON JN. (YORK),16421
ZSK,SKENSIN,SOUTH KENSINGTON LT,72265
SOK,SKENTON,SOUTH KENTON,72009
SKE,SKEWEN,SKEWEN,79408
,SKIRBYJ,SOUTH KIRKBY JN,18076
,SKLTJN,SKELTON JN,32404
,SKLWAMO,SKELLOW JN AMOCO,23111
,SKLWJN,SKELLOW JN,23109
,SKNGRVW,SKINNINGROVE B.S.C.,15681
SKI,SKPT,SKIPTON,9531
,SKPT031,SKIPTON STH JN SIG L4031,9524
,SKPT046,SKIPTON SIG L4046,9530
,SKPT549,SKIPTON STH JN SIG L4549,9522
,SKPTBCS,SKIPTON BROUGHTON RD C.S.,9532
,SKPTDSS,SKIPTON DOWN STABLING SDG,9536
,SKPTNHS,SKIPTON H.S.,9533
,SKPTSNJ,SKIPTON DOWN SHIPLEY SLOW,9535
SLK,SKSCMN,SILKSTONE COMMON,25387
,SLADEGD,SLADE GREEN T&R.S.M.D,88425
SGR,SLADEGN,SLADE GREEN,88424
,SLADGD,SLADE GREEN DEP LONDON END,88432
,SLADGEH,SLADE GREEN DPT EAST HSHNT,88504
XGX,SLADGEX,SLADE GREEN COUNTRY EXIT,88427
,SLADGUS,SLADE GREEN UP C.H.S.,88428
,SLAT675,SLATEFORD ES675,4113
,SLAT972,SLATEFORD SIGNAL ES972,4104
,SLAT974,SLATEFORD SIGNAL ES974,4097
,SLAT975,SLATEFORD SIGNAL ES975,4098
SLA,SLATEFD,SLATEFORD,4105
,SLATFCS,SLATEFORD CARRIAGE SIDINGS,4103
,SLATFDD,SLATEFORD DEPOT,4107
SLT,SLCT,SALTCOATS,8125
,SLDLJN,SLADE LANE JN,32515
SLR,SLEFD,SLEAFORD,44113
,SLEFDEJ,SLEAFORD EAST JN,44200
,SLEFDNJ,SLEAFORD NORTH JN,46001
,SLEFDSJ,SLEAFORD SOUTH JN,44114
,SLEFDTS,SLEAFORD TAMPER SIDING,44115
,SLEFDUS,SLEAFORD UP SIDING,44116
SLH,SLEGHTS,SLEIGHTS,15524
SFO,SLEHOPE,STANFORD-LE-HOPE,51023
,SLEIESB,SLEIGHTS EAST SIGNAL BOX,56304
SLD,SLFDCT,SALFORD CRESCENT,31521
SFD,SLFDORD,SALFORD CENTRAL,31519
,SLHRS13,SELHURST DEPOT SIG S13,87558
,SLHRS15,SELHURST DEPOT SIG S15,87559
XSH,SLHRSTD,SELHURST T&R.S.M.D,87639
,SLHRSTF,SELHURST DEPOT FIELD SDGS,87642
,SLHRT68,SELHURST DEPOT SIG T68,87654
,SLHRT76,SELHURST DEPOT SIG T76,87655
,SLHRTS2,SELHURST DEPOT SIG S2,87646
,SLHRTS4,SELHURST DEPOT SIG S4,87653
,SLIGHTJ,SEARCHLIGHT LANE JN,42303
,SLKSTRJ,SILKSTREAM JUNCTION,63216
,SLMBTHJ,SOUTH LAMBETH JN,0
,SLNYBAL,BALDERTON TUNNEL & LC,41124
,SLNYJN,SALTNEY JN,40220
,SLOCHD,SLOCHD,1136
,SLOU161,SLOUGH SIG S161,73820
,SLOU538,SLOUGH SIG T3538,73821
,SLOUEST,SLOUGH ESTATES,73833
SLO,SLOUGH,SLOUGH,73822
,SLOUGHW,SLOUGH WEST,73831
,SLOUGHY,SLOUGH U.G.L.,73834
,SLOUSPL,SLOUGH STOKE POGES LANE,73832
,SLSB215,SALISBURY SIGNAL SY215,86145
,SLSB217,SALISBURY SIGNAL SY217,86126
,SLSB240,SALISBURY SIGNAL SY240,86125
,SLSB43,SALISBURY SIGNAL SY43,86122
,SLSB52,SALISBURY SIGNAL SY52,86122
,SLSBDTA,SALISBURY DEPOT CET APRON,0
,SLSBECS,SALISBURY EAST C.H.S.,86121
,SLSBRCL,SALISBURY RECEPTION LINE,86131
SAL,SLSBRY,SALISBURY,86122
XFU,SLSBRYD,SALISBURY T&R.S.M.D,86123
,SLSBRYY,SALISBURY EAST YARD,86120
,SLSBTJN,TUNNEL JN.,86116
XFV,SLSBWCS,SALISBURY WEST C.S.,86119
,SLSBY5B,SALISBURY 5 BAY,86122
,SLSBY6B,SALISBURY 6 BAY,86122
,SLSBYHS,SALISBURY H.S.,0
,SLSBYWE,SALISBURY WEST END,86150
,SLTHWTC,SLAITHWAITE TOWN CENTRE,0
SWT,SLTHWTE,SLAITHWAITE,18477
,SLTLYDS,SALTLEY EMR,66322
,SLTLYGB,SALTLEY EMR GBRF,66334
,SLTLYHS,SALTLEY L.I.P.,66320
,SLTLYPB,SALTLEY P.S.B.,66325
SAM,SLTMRSH,SALTMARSHE,20007
XSI,SLWDJN,SALTWOOD JN,89733
,SLYNN,SOUTH LYNN,46248
SAB,SMALBRK,SMALLBROOK JUNCTION,86296
SMT,SMARGRT,ST MARGARETS (HERTS),51711
SMB,SMBG,SMITHY BRIDGE,31035
,SMEE719,SMEETH SIGNAL AD719,89746
SMO,SMERTON,SOUTH MERTON,87327
,SMHLTUN,SOMERHILL TUNNEL,89373
SOM,SMILFD,SOUTH MILFORD,16595
,SMINCGB,SOUTHMINSTER C.E.G.B.,50303
SMN,SMINSTR,SOUTHMINSTER,50301
,SMLHGBR,SMALL HEATH LAFARGE GBRF,66466
,SMLHLAG,SMALL HEATH LAFARGE AGGR,66423
,SMLHSTV,SMALL HEATH STVA SDGS,66422
SMA,SMLHTH,SMALL HEATH,66420
XOH,SMLHTHS,SMALL HEATH SOUTH JN,66421
SYT,SMRLYTN,SOMERLEYTON,48195
SMR,SMTHKRS,SMETHWICK ROLFE STREET,65824
SMW,SMTHWKW,SMETHWICK JN,65908
SNI,SNAITH,SNAITH,20014
,SNAPE,SNAPE,49120
,SNBKJN,SHARNBROOK JN.,62001
,SNBKSDP,SOULDROP,61141
,SNBKWYM,WYMINGTON TUNNEL,61131
,SNDBNKJ,SAND BANK JUNCTION,23466
XSA,SNDGNG,SANDRINGHAM NORWICH GATES,0
,SNDGVC,SANDRINGHAM VISITOR CENTRE,0
SND,SNDHRST,SANDHURST,87008
SAN,SNDOWN,SANDOWN,86294
SUP,SNDP,SUNDRIDGE PARK,88470
,SNDRBDS,SUNDERLAND BURDON DOCK SDG,14032
SUN,SNDRLND,SUNDERLAND,14031
,SNDRLS,SUNDERLAND LONDONDERRY SDG,14035
STZ,SNDRMNK,ST. PETERS,14023
,SNDRMS,SUNDERLAND MIDDLE SIDINGS,14032
,SNDRMSB,MONKWEARMOUTH S.B.,14022
,SNDRSTH,SUNDERLAND SOUTH JN,14033
,SNDW363,SANDWELL&DUDLEY SIG NS363,65820
,SNDWCH,"OLDBURY, SANDWELL CNCL HSE",0
SAD,SNDWDUD,SANDWELL & DUDLEY,65821
SDY,SNDY,SANDY,45603
,SNDYFD,SANDY FREIGHT DEPOT,45601
,SNDYPL1,SANDY SOUTH POS LIGHT P1,45604
,SNDYUPS,SANDY UP SIDINGS,45605
,SNETSHM,SNETTISHAM MARKET PLACE,0
,SNGLSB,SINGLETON SB,30043
SOG,SNGT,STONEGATE,89393
,SNGWDEP,SINGLEWELL DEPOT,89549
,SNGWLP,SINGLEWELL LOOP,89546
,SNGWUS,SINGLEWELL UP SIDING,89550
XXN,SNGWX,SINGLEWELL CROSSOVER,89548
,SNLW182,SNAILWELL GROUND FRM 1182,46289
,SNLWGBR,SNAILWELL SIDINGS GBRF,46288
,SNLWLS,SNAILWELL SDG,46281
SDA,SNODLND,SNODLAND,89305
SOS,SNSS,STROMNESS,0
,SNST109,STOATS NEST JN. SIG T1109,87885
,SNST110,STOATS NEST JN. SIG T1110,87886
,SNSTGF,COULSDON NORTH GRND FRAME,87899
XJS,SNSTJN,STOATS NEST JN.,87901
SJN,SNTJ,ST. JAMES (NEWCASTLE),12725
SWO,SNWDNAN,SNOWDOWN,89516
,SOAK,SUTTON OAK H.CHEMICALS,35441
SAV,SOAV,STRATFORD-UPON-AVON,66451
,SOAVEST,STRATFORD UPON AVON EAST,66450
STY,SOAVPWY,STRATFORD PARKWAY,66449
,SOHAM,SOHAM,46276
,SOHOCE,SOHO CE SDGS,65829
XSZ,SOHODED,SOHO L.M.D.,65828
,SOHOEJ,SOHO EAST JN,65832
,SOHONJ,SOHO NORTH JN,65825
XOS,SOHOSJ,SOHO SOUTH JN,65826
,SOKEJN,STOKE JN.,44999
,SOKELBY,LITTLE BYTHAM,45000
,SOLE013,SOLE STREET SIGNAL 4013,88525
SOR,SOLEST,SOLE STREET,88489
SOL,SOLIHUL,SOLIHULL,66431
,SOMAINL,SOMAIN (LILLE),744
,SOMEGF,SOMERTON GROUND FRAME,82305
,SOMERTN,SOMERTON ENGINEERS,82304
,SOMEVIA,SOMERTON VIADUCT,82305
,SOTD107,SOTON W DOCKS BERTH 109,86604
,SOTDBH,SOTON DKS BERKELEY HANDLNG,86605
XSN,SOTDED,SOUTHAMPTON EASTERN DOCKS,86516
,SOTDFLT,SOUTHAMPTON DOCKS F.L.T.,86603
,SOTDNLU,SOUTHAMPTON W DOCKS - NLU,86601
XSK,SOTDWD,SOUTHAMPTON WESTERN DOCKS,86602
,SOTDWGB,SOUTHAMPTON W DOCKS (GBRF),86607
,SOTHWAT,SOUTHWAITE,9306
,SOTNHVP,SOUTHAMPTON HOVERPORT,86515
STQ,SOTNTQ,SOUTHAMPTON TOWN QUAY,0
,SOTO740,SOUTHAMPTON SIGNAL E740,86521
,SOTO779,SOUTHAMPTON SIGNAL E779,0
,SOTO862,SOUTHAMPTON SIGNAL E862,0
,SOTO930,SOUTHAMPTON SIGNAL E930,86519
,SOTO942,SOUTHAMPTON SIGNAL E942,86519
,SOTO955,SOUTHAMPTON SIGNAL E955,0
,SOTO957,SOUTHAMPTON SIGNAL E957,0
XFW,SOTODGL,SOUTHAMPTON DOWN LOOP,86524
,SOTOEWS,SOUTHAMPTON M.C.T. EWS,86530
,SOTOLHS,SOUTHAMPTON M.C.T. L.H.S.,86532
,SOTOMCT,SOUTHAMPTON M.C.T.,86531
SOU,SOTON,SOUTHAMPTON CENTRAL,86520
,SOTONB,SOUTHAMPTON DOWN BAY,86520
,SOTONBS,SOUTHAMPTON DOWN BAY SDG,86520
,SOTONDG,SOUTHAMPTON DOCK GATES,86514
,SOTONDY,SOUTHAMPTON DOWN YARD,86506
,SOTONSF,SOUTHAMPTON STN FORECOURT,86520
XFX,SOTOUGL,SOUTHAMPTON UP GOODS LOOP,86522
SOA,SOTPKWY,SOUTHAMPTON AIRPORT PARKWY,86495
,SOUT087,SOUTHPORT SIGNAL 1087,35001
,SOUT112,SOUTHPORT SIGNAL 112,35007
,SOUT149,SOUTHPORT SIGNAL 149,35006
,SOUTCHS,SOUTHPORT C.H.S.,35003
SOP,SOUTHPT,SOUTHPORT,35001
SOZ,SOUTLSM,SOUTHPORT (LORD STREET),0
,SOUTWSD,SOUTHPORT WALL SIDINGS,35003
SPA,SPALDNG,SPALDING,46014
,SPALDUS,SPALDING UP SIDINGS,46015
,SPALIT,LITTLEWORTH,46024
,SPALSDR,SOUTH DROVE,46019
XSU,SPAROAD,SPA ROAD JN,88408
SPO,SPDN,SPONDON,57435
,SPDNC,SPONDON COURTAULDS,57434
SBR,SPEANBD,SPEAN BRIDGE,6027
,SPEANCE,SPEAN BRIDGE C.E.,6026
,SPEAPSS,SPEAN BRIDGE PTS SET SIG,5113
,SPEKEJ,SPEKE JN,36328
,SPELBRK,SPELBROOK,0
SPF,SPFD,SPRINGFIELD,3207
,SPH4459,SHEPHERDS WELL SIG EK4459,89525
XSR,SPHEADJ,SPRINGHEAD JUNCTION (CTRL),88711
SPP,SPHL,SHIPPEA HILL,46268
SPU,SPHS,STAPLEHURST,89326
SPI,SPITAL,SPITAL,38214
,SPKLFHH,SPEKELAND ROAD (FHH),36179
XSD,SPKLNDR,SPEKELAND ROAD,36178
,SPLOTJ,SPLOTT JUNCTION,77103
SPY,SPLY,SHEPLEY,18496
,SPNYGNJ,STEPNEY GREEN JUNCTION,52206
SPN,SPONRRW,SPOONER ROW,48429
,SPRB,SPRINGS BRANCH,35149
,SPRBDGL,SPRINGS BRANCH DN GDS LOOP,35149
,SPRBJN,SPRINGS BRANCH JN,35152
,SPRBSS,SPRINGS BRANCH STABL SDG,35153
,SPRBUGL,SPRINGS BRANCH UP GDS LOOP,35149
SRI,SPRD,SPRING ROAD,66440
,SPRGHTN,SPROUGHTON,0
,SPRINGJ,SPRINGHEAD JN,88711
,SPRNDRS,SPRINGBURN (DRS),6508
SPR,SPRNGBN,SPRINGBURN,6521
,SPTCHLL,SPETCHLEY LOOP,67009
SIP,SPTN,SHIPTON,74464
,SPWDJN,SPRINGWOOD JN,18486
SQU,SQUIRES,SQUIRES GATE,30035
,SRNASCC,ST CLEARS CROSSING,80425
,SRNAULC,SARNAU LC,80427
,SRTNJN,STRANTON JUNCTION,14227
,SRUAN,STRUAN,1160
,SRUI67R,SOUTH RUISLIP SIG ME67R,73419
,SRUI76,SOUTH RUISLIP ME76,73429
SRU,SRUISLP,SOUTH RUISLIP,73420
SHV,SSEACLE,SOUTHSEA HOVERPORT,0
XON,STADJN,ST ANDREWS JN (WEST MIDS),66323
,STAFA12,STAFFORD ARRIVAL SDG 1 & 2,43323
,STAFDSS,STAFFORD DOWN SDGS,43321
,STAFFDJ,STAFFORD DOXEY JUNCTION,43327
,STAFFDS,STAFFORD DINHAM SIDINGS,43318
,STAFFDY,STAFFORD YARD,43316
,STAFFNJ,STAFFORD NORTH JN,43320
STA,STAFFRD,STAFFORD,43314
,STAFFSJ,STAFFORD SOUTH JN,43338
,STAFSBS,STAFFORD SALOP BRANCH SDG,43311
,STAFTVJ,STAFFORD TRENT VALLEY JN,43322
,STAI467,STAINES SIGNAL F467,87079
,STAI476,STAINES SIGNAL F476,0
,STAI478,STAINES SIGNAL F478,87118
,STAIDGL,STAINES D.G.L.,87115
SNS,STAINES,STAINES,87114
,STAINHS,STAINES HIGH STREET,0
XFY,STAINSD,STAINES C.H.S.,87113
,STAINSE,STAINES SIDINGS ENT-EXIT,87088
,STAINSS,STAINES STATION,87114
XFZ,STAINUL,STAINES UP LOOP,87116
,STAJN92,ST ANDREWS JN SIG SY92,66331
,STALBCS,ST ALBANS CENTRE SIDINGS,63202
SAC,STALBCY,ST ALBANS CITY,63201
SAA,STALBNA,ST ALBANS ABBEY,71030
,STALBUS,ST ALBANS BUS,0
,STALNAP,NAPSBURY,63205
SMD,STAMFD,STAMFORD,45008
,STAMUFF,UFFINGTON SB (LINCS),45010
,STAN143,STANSTED AIRPORT SIG L1143,47351
,STAN201,STANSTED AIRPORT SIG L1201,47348
SSD,STANAIR,STANSTED AIRPORT,47344
XTH,STANBUS,STANSTED AIRPORT BUS STOP,0
,STANCLJ,STANSTED COOPERS LANE JN,47347
,STANDGL,STANSTED DOWN GOODS LOOP,47343
,STANEJN,STANSTED EAST JUNCTION,47346
SST,STANMFC,STANSTED MOUNTFITCHET,47342
,STANNJN,STANSTED NORTH JUNCTION,47339
,STANSJN,STANSTED SOUTH JUNCTION,47345
,STANSOS,STANSTED OIL SIDING,47341
,STAPBB,STAPLEFORD & SANDIACRE BB,56572
,STAPLCE,STAPLEFORD & S C C E SDG,56573
,STAPLFD,STAPLEFORD & SANDIACRE,56571
SBE,STARBCK,STARBECK,16109
SAS,STAS,ST ANNES-ON-THE-SEA,30036
XFJ,STAUEDE,EDEN PROJECT,0
,STAUSCE,ST AUSTELL ISU (CE),85302
SAU,STAUSTL,ST AUSTELL,85303
SVL,STAVELY,STAVELEY,11003
,STBDERN,ERNESETTLE SDGS MOD (NAVY),84206
,STBDGBF,ERNSETTLE MOD GBRF,84210
SBF,STBDXFR,ST BUDEAUX FERRY ROAD,84295
,STBDXJN,ST BUDEAUX JN.,84293
SBV,STBDXVR,ST BUDEAUX VICTORIA ROAD,84204
SBS,STBEES,ST BEES,10199
,STBLAZY,ST BLAZEY SIGNAL BOX,85218
,STBLHOS,ST BLAZEY H & SONS,85217
,STBLTMD,ST BLAZEY L I P,85222
,STBLZYY,ST BLAZEY SS,85220
,STCALC,STOKE CANON LC,83116
SKS,STCKSFL,STOCKSFIELD,13321
SCR,STCLMBR,ST COLUMB ROAD,85244
STC,STCN,STRATHCARRON,1077
,STCNCE,STRATHCARRON C.E.,1085
,STCNGF,STRATHCARRON GF,1066
,STCNLC,STRATHCARRON L.C.,1077
SCG,STCR,STONE CROSSING,88697
,STDE704,ST DENYS SIGNAL E704,86501
,STDE706,ST DENYS SIGNAL E706,86502
,STDE904,ST DENYS SIGNAL E904,86500
SDN,STDENYS,ST DENYS,86499
STI,STDI,STADIUM OF LIGHT STN T&WM,14039
SCF,STECHFD,STECHFORD,65611
SON,STEETON,STEETON & SILSDEN,17009
,STENTON,STENTON G.S.P.,4825
SPS,STEPPS,STEPPS,6503
,STER10,ST ERTH SIGNAL SE10,85720
,STER56,ST ERTH SIGNAL 56,85723
,STERR19,ST ERTH SIG R19,85724
,STERTCE,ST ERTH CE SIDING,85722
SER,STERTH,ST ERTH,85721
XCU,STETLEI,STREET LEIGH RD/CRISPIN HA,0
,STETLIB,STREET LIBRARY,0
,STEV214,STEVENAGE SIG K214,53222
,STEV656,STEVENAGE UP FAST SIG 656,53220
,STEV669,STEVENAGE SIG 669,53204
SVG,STEVNGE,STEVENAGE,53223
STT,STEWRTN,STEWARTON,8703
,STFALX,ST FAGANS L C,78601
SRA,STFD,STRATFORD,52226
,STFD156,STRATFORD SIG L156,52218
,STFD247,STRATFORD SIGNAL L247,52232
,STFD249,STRATFORD SIG L249,52230
,STFD251,STRATFORD SIGNAL L251,52216
,STFD257,STRATFORD SIGNAL L257,52233
,STFD259,STRATFORD SIGNAL L259,52223
,STFD261,STRATFORD SIGNAL L261,52225
,STFD295,STRATFORD SIGNAL L295,52231
,STFD701,STRATFORD SIGNAL L701,52204
,STFD703,STRATFORD SIG L703,52205
,STFDCEJ,STRATFORD COUNTRY END JCN,52226
,STFDCJ,STRATFORD CENTRAL JUNCTION,52226
,STFDFLT,STRATFORD F.L.T.,52220
,STFDLJN,LONDON END JN,0
,STFDMBS,STRATFORD MARKET B&S ACIDS,0
,STFDMRK,STRATFORD MARKET,52229
XSV,STFDOCS,STRATFORD OLD YD. C.H.S.,0
,STFDRPD,STRATFORD REPAIR DEPOT,0
,STFDS53,STRATFORD SIG L53,0
,STFDS68,STRATFORD SIG. L68,52224
,STFDS82,STRATFORD GROUND SIG L82,0
SFA,STFODOM,STRATFORD INTL (DOMESTIC),52215
XXQ,STFOEJN,STRATFORD INTL E JN,52213
SDI,STFORDI,STRATFORD INTERNATIONAL,52215
XXR,STFOWJN,STRATFORD INTL W JN,52217
SGM,STGRMNS,ST GERMANS,84397
,STHALEJ,SOUTHALL EAST JN,73665
STL,STHALL,SOUTHALL,73663
,STHALSL,SOUTHALL LOCO SERVICES LTD,73673
,STHALWJ,SOUTHALL WEST JN,73667
,STHASTE,SOUTHALL ISU (S&TE),73661
,STHATC,SOUTHALL T.C.,73666
,STHAWCR,SOUTHALL WCR,73664
,STHAWLP,SOUTHALL W LP & B'FORD SDG,73660
SBK,STHBANK,SOUTH BANK,15625
,STHBCAR,TEES DOCK CAR TERMINAL,15633
,STHBCLA,TEES DOCK COAL LDG AREA,15632
,STHBCLP,TEES DOCK CLEVELAND POTASH,15635
,STHBDRS,SOUTH BANK TEES DOCK (DRS),15629
,STHBEXP,TEES DOCK BSC EXPORT BERTH,15634
,STHBFHH,SOUTH BANK TEES DOCK (FHH),15639
,STHBFLT,TEES DOCK (FLT),15631
,STHBGBR,TEES DOCK GBRF,15622
,STHBNKJ,SOUTH BANK JN.,15624
SOC,STHCENT,SOUTHEND CENTRAL,51007
SIA,STHEAIR,SOUTHEND AIRPORT,50315
,STHEVCS,SOUTHEND VICTORIA C.S.D.,0
SFS,STHFLDS,SOUTHFIELDS,87254
SGL,STHGYLE,SOUTH GYLE,4211
SHZ,STHH,SOUTH HYLTON,14040
,STHLDGL,ST HELENS DGL,35407
SNH,STHLNSC,ST HELENS CENTRAL,35405
SHJ,STHLNSJ,ST HELENS JUNCTION,35449
SOE,STHNDE,SOUTHEND EAST,51005
XRH,STHRHMJ,SOUTHERHAM JN,88224
SHC,STHS,STREETHOUSE,18032
SOV,STHVIC,SOUTHEND VICTORIA,50311
SWK,STHWICK,SOUTHWICK,87988
,STIR504,STIRLING SIGNAL 6504,3407
,STIRCHJ,CAUSEWAYHEAD JUNCTION,3395
STG,STIRLNG,STIRLING,3401
,STIRLNM,STIRLING MIDDLE,3402
,STIRLNN,STIRLING NORTH,3403
,STIRLSD,STIRLING S & D LINES,3404
,STIRSDG,STIRLING SIDINGS,3405
,STIRUPL,STIRLING U.P.L.,3406
SIV,STIVES,ST IVES,85711
SJP,STJAMSP,ST JAMES' PARK,83435
SJS,STJMSST,ST JAMES STREET,52734
SAJ,STJOHNS,ST JOHNS,88411
SKN,STKEYNE,ST KEYNE WISHING WELL HALT,84416
SKV,STKEYNV,ST KEYNE VILLAGE,0
,STKG589,STOKE GIFFORD SIG B589,81117
,STKGDRC,STOKE GIFFORD DOWN RECP.,81111
,STKGFHH,STOKE GIFFORD (FHH),81110
,STKGIEP,STOKE GIFFORD,81119
,STKGLMD,S. GIFFORD LOCO MTENANC DT,81113
,STKGSDG,STOKE GIFFORD SIDINGS,81111
,STKGTIP,STOKE GIFFORD TIP,81112
,STKGWMD,STOKE GIFFORD WAGON MT DEP,81115
SKM,STKM,STOKE MANDEVILLE,70358
SKW,STKNWNG,STOKE NEWINGTON,51963
SPT,STKP,STOCKPORT,32534
,STKP216,STOCKPORT SIG ST2.116/118,32556
,STKP288,STOCKPORT SIG ST2.88/89,32588
,STKPCS,STOCKPORT CAR. M.D.,32531
,STKPCVJ,CHEADLE VILLAGE JUNCTION,32533
,STKPE1,EDGELEY JN NO1,32537
,STKPE2,EDGELEY JN NO2,32536
,STKPE20,EDGELEY SIGNAL EY1.20,32558
,STKPVIA,STOCKPORT VIADUCT,32532
SSM,STKSMR,STOCKSMOOR,18494
XSW,STKWKSJ,STOKE WORKS JN,67008
,STKYBJN,STOCKLEY BRIDGE JN,73796
,STKYJN,STOCKLEY JUNCTION,73799
SNL,STLEIGH,STONELEIGH,87303
,STLN42,ST LEONARDS SIGNAL BJ42,88277
,STLN64,ST LEONARDS SIGNAL BJ64,88277
,STLNCET,ST LEONARDS CET POINT,88276
XSM,STLNDEM,ST LEONARDS RLY ENG LTD,88282
,STLNGBR,ST LEONARDS ENG.LTD (GBRF),88280
,STLNRWM,ST LEONARDS WEST MARINA,88281
SLQ,STLNRWS,ST LEONARDS WARRIOR SQ,88283
,STLNSHB,ST LEONARDS SHUNT BOARD,88281
,STLNSHN,ST LEONARDS SHUNT NECK,88292
XSE,STLNWCS,ST LEONARDS WM CSD.,88281
,STLNWMD,ST LEONARDS WM TMD,88281
,STMAAPT,ST MARYS AIRPORT,0
SMQ,STMAQUY,ST. MARYS QUAY,0
,STMARYS,ST MARYS,0
STM,STMCHLS,ST MICHAELS,36084
